Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,79.338997,82.430000,78.500000,80.599998,80.599998,0
2004-01-01,80.292397,83.550003,79.059998,80.889000,80.889000,0
2004-02-01,80.889000,85.202904,79.769997,84.453003,84.453003,0
2004-03-01,84.497002,85.558998,78.004997,79.800003,79.800003,0
2004-04-01,79.785004,81.411003,78.620003,79.589996,79.589996,0
2004-05-01,79.589996,80.175003,77.771004,78.394997,78.394997,0
2004-06-01,78.402000,79.168198,74.320000,75.906998,75.906998,0
2004-07-01,75.849998,82.584000,75.220001,78.248001,78.248001,0
2004-08-01,78.248001,79.660004,76.680000,76.900002,76.900002,0
2004-09-01,76.928001,80.122002,75.209999,79.930000,79.930000,0
2004-10-01,79.942001,80.984001,78.376999,79.239998,79.239998,0
2004-11-01,79.260002,81.627998,78.989998,79.559998,79.559998,0
2004-12-01,79.570000,80.686996,78.461998,80.112000,80.112000,0
2005-01-01,80.073997,80.456001,76.970001,80.239998,80.239998,0
2005-02-01,80.260002,83.542999,79.849998,82.650002,82.650002,0
2005-03-01,82.639999,83.629997,81.519997,82.779999,82.779999,0
2005-04-01,82.779999,83.870003,81.670998,81.670998,81.670998,0
2005-05-01,81.670998,82.494003,80.639999,81.919998,81.919998,0
2005-06-01,81.940002,85.000000,81.129997,84.459999,84.459999,0
2005-07-01,84.460999,85.639999,82.680000,85.169998,85.169998,0
2005-08-01,85.161003,87.586998,82.660004,83.420998,83.420998,0
2005-09-01,83.410004,86.709999,81.334000,86.386002,86.386002,0
2005-10-01,86.386002,87.580002,85.508003,86.980003,86.980003,0
2005-11-01,86.980003,88.642998,85.830002,88.559998,88.559998,0
2005-12-01,88.580002,91.279999,84.440002,86.453003,86.453003,0
2006-01-01,86.453003,88.942001,85.540001,88.879997,88.879997,0
2006-02-01,88.879997,89.379997,85.529999,86.000000,86.000000,0
2006-03-01,86.029999,87.470001,82.099998,84.402000,84.402000,0
2006-04-01,84.402000,87.820000,83.800003,86.180000,86.180000,0
2006-05-01,86.246002,87.746002,83.580002,84.669998,84.669998,0
2006-06-01,84.680000,85.629997,83.519997,85.002998,85.002998,0
2006-07-01,85.002998,88.884003,84.800003,87.669998,87.669998,0
2006-08-01,87.680000,89.686996,87.120003,89.540001,89.540001,0
2006-09-01,89.550003,89.888000,87.279999,88.012001,88.012001,0
2006-10-01,88.012001,90.830002,87.500000,90.459999,90.459999,0
2006-11-01,90.459999,91.570000,89.790001,91.224998,91.224998,0
2006-12-01,91.220001,95.792999,90.040001,93.820000,93.820000,0
2007-01-01,93.820000,96.957001,92.019997,93.639999,93.639999,0
2007-02-01,93.650002,96.055000,92.559998,93.419998,93.419998,0
2007-03-01,93.445000,95.790001,88.480003,95.268997,95.268997,0
2007-04-01,95.277000,100.000000,94.664001,99.010002,99.010002,0
2007-05-01,99.000000,100.880997,97.653000,100.830002,100.830002,0
2007-06-01,100.860001,105.330002,0.334130,104.430000,104.430000,0
2007-07-01,104.440002,110.080002,99.970001,100.849998,100.849998,0
2007-08-01,100.800003,103.610001,86.070000,94.519997,94.519997,0
2007-09-01,94.519997,102.029999,92.760002,101.919998,101.919998,0
2007-10-01,101.930000,107.779999,99.500000,107.489998,107.489998,0
2007-11-01,107.505997,107.792000,93.559998,98.250000,98.250000,0
2007-12-01,98.250000,100.160004,95.230003,97.570000,97.570000,0
2008-01-01,97.570000,98.489998,90.129997,95.099998,95.099998,0
2008-02-01,95.190002,100.419998,94.190002,96.450996,96.450996,0
2008-03-01,96.757004,97.510002,88.169998,91.199997,91.199997,0
2008-04-01,92.160004,98.730003,92.080002,98.000000,98.000000,0
2008-05-01,97.410004,101.029999,96.269997,100.720001,100.720001,0
2008-06-01,100.620003,103.669998,99.269997,101.599998,101.599998,0
2008-07-01,101.178001,104.433998,100.940002,101.371002,101.371002,0
2008-08-01,101.209000,101.220001,92.650002,92.860001,92.860001,0
2008-09-01,92.875999,93.148003,81.470001,84.029999,84.029999,0
2008-10-01,84.029999,85.110001,55.310001,65.831001,65.831001,0
2008-11-01,65.831001,70.361000,56.900002,62.099998,62.099998,0
2008-12-01,62.000000,64.574997,57.799999,63.942001,63.942001,0
2009-01-01,63.942001,68.161003,56.428398,57.367001,57.367001,0
2009-02-01,57.367001,64.551102,55.548199,62.629002,62.629002,0
2009-03-01,62.629002,69.525299,61.009998,68.440002,68.440002,0
2009-04-01,68.389999,74.396004,66.852997,71.696999,71.696999,0
2009-05-01,71.683998,76.956001,70.519997,76.269997,76.269997,0
2009-06-01,76.339996,80.420998,74.029999,77.609200,77.609200,0
2009-07-01,77.612701,79.065002,70.750000,79.065002,79.065002,0
2009-08-01,79.063004,81.529999,77.449997,78.260002,78.260002,0
2009-09-01,76.760101,79.813911,76.438004,79.379997,79.379997,0
2009-10-01,77.839996,85.221001,77.485001,81.365997,81.365997,0
2009-11-01,81.365997,84.190002,76.666000,79.138199,79.138199,0
2009-12-01,79.179100,83.784500,78.699997,83.463997,83.463997,0
2010-01-01,83.463997,86.179001,78.860001,79.919998,79.919998,0
2010-02-01,79.946098,82.766998,76.169998,79.870003,79.870003,0
2010-03-01,79.820000,85.815002,79.180000,85.589996,85.589996,0
2010-04-01,85.690002,88.050003,83.949997,86.742996,86.742996,0
2010-05-01,86.742996,87.945000,71.898003,77.171501,77.171501,0
2010-06-01,77.175003,80.839111,73.629997,74.375000,74.375000,0
2010-07-01,74.360001,79.379997,72.639999,78.197998,78.197998,0
2010-08-01,78.197998,79.250000,73.644600,75.349998,75.349998,0
